                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.093784,               0.086999,               0.063948,               0.032628,                0.35922,                0.52469,                0.34327,                0.12319,                0.38619,                0.51081,                0.37365,                0.15928,                0.06305,               0.040556,               0.047525,               0.013032,                0.07037,              0.0032922,              0.0032922
                      1,               0.063118,               0.044993,                0.05304,              0.0098935,                0.30948,                0.57407,                0.42398,                0.18611,                0.35759,                0.55033,                0.45121,                 0.2394,               0.056582,               0.033437,               0.037107,              0.0057022,               0.040357,              0.0066124,              0.0066124
                      2,                 0.0609,               0.040858,               0.050184,              0.0068934,                0.46623,                 0.7099,                0.56653,                0.26075,                0.49296,                0.71435,                0.62384,                 0.3495,               0.058036,               0.034999,               0.038777,              0.0041859,               0.010331,              0.0099194,              0.0099194
                      3,               0.053963,               0.039859,               0.049564,              0.0061416,                0.55564,                0.66796,                0.59692,                0.22674,                0.57272,                0.68747,                0.62521,                0.29681,               0.048794,               0.035909,               0.043204,               0.003604,              0.0099406,              0.0099406,              0.0099406
                      4,                0.04857,               0.037483,               0.048172,              0.0051529,                0.58074,                0.67141,                0.66626,                0.35622,                0.56749,                0.64107,                0.63514,                0.33529,               0.043674,               0.038032,               0.043233,               0.004551,              0.0099406,              0.0099406,              0.0099406
                      5,               0.044732,               0.035781,               0.046919,              0.0046295,                0.76474,                0.70443,                0.74541,                0.43742,                0.74137,                0.68045,                0.70655,                 0.4278,               0.044464,               0.040584,               0.042945,              0.0071475,              0.0099208,              0.0099208,              0.0099208
                      6,               0.043408,               0.035504,               0.047444,              0.0042994,                0.82793,                0.76713,                0.83918,                0.48959,                0.81794,                0.74678,                0.80541,                0.49838,               0.038694,                0.03133,               0.036923,              0.0052547,               0.009901,               0.009901,               0.009901
                      7,               0.041468,               0.034331,               0.046402,               0.004052,                0.82862,                0.79416,                0.84632,                0.54395,                 0.8229,                0.78118,                0.82613,                0.53851,               0.035413,               0.030074,               0.037453,              0.0029678,              0.0098812,              0.0098812,              0.0098812
                      8,               0.039847,               0.034027,                0.04513,              0.0038381,                0.81513,                0.83347,                0.87155,                0.55651,                0.80713,                0.81592,                 0.8469,                0.54227,               0.035148,                0.02922,               0.035953,              0.0023095,              0.0098614,              0.0098614,              0.0098614
                      9,               0.039434,               0.033235,               0.044405,              0.0035598,                0.83497,                 0.8227,                0.87648,                0.52857,                0.82185,                0.81046,                 0.8531,                0.54169,                0.03474,               0.028038,               0.034773,              0.0042221,              0.0098416,              0.0098416,              0.0098416
                     10,               0.038158,               0.033215,               0.044138,              0.0034233,                 0.8144,                0.80348,                0.86151,                0.55471,                0.78641,                0.78667,                0.81823,                0.51819,               0.034104,               0.029658,               0.035472,              0.0020707,              0.0098218,              0.0098218,              0.0098218
                     11,               0.037642,               0.032645,               0.043431,              0.0033761,                0.79539,                0.82867,                0.86612,                0.56755,                0.77568,                0.80636,                0.83449,                0.54361,               0.033225,               0.028867,               0.036363,              0.0026175,               0.009802,               0.009802,               0.009802
                     12,               0.036863,               0.031614,               0.043826,              0.0031269,                0.82937,                0.83364,                0.87944,                0.56816,                0.82077,                0.81928,                0.85825,                0.57593,               0.032588,               0.026622,               0.035004,              0.0032523,              0.0097822,              0.0097822,              0.0097822
                     13,               0.035934,                0.03154,                0.04323,              0.0031565,                0.85203,                 0.8424,                0.88755,                0.62193,                0.84057,                0.83074,                0.86568,                0.59727,               0.031172,               0.025794,               0.033242,              0.0021725,              0.0097624,              0.0097624,              0.0097624
                     14,                0.03605,               0.031246,               0.041998,              0.0031119,                0.88434,                 0.8487,                0.90489,                0.63618,                 0.8707,                0.83542,                0.87811,                0.60698,               0.030549,               0.025614,               0.031906,              0.0018959,              0.0097426,              0.0097426,              0.0097426
                     15,               0.035061,               0.030306,               0.041281,              0.0029518,                0.86776,                0.86032,                0.90313,                0.63485,                0.86299,                0.82893,                0.87098,                0.60583,               0.029731,               0.026315,               0.031595,              0.0019449,              0.0097228,              0.0097228,              0.0097228
                     16,               0.035042,               0.030469,               0.041966,              0.0028757,                0.86598,                 0.8684,                0.90985,                0.62618,                0.84293,                0.85132,                0.88096,                0.60099,               0.028883,               0.025658,               0.031537,              0.0015738,               0.009703,               0.009703,               0.009703
                     17,               0.033904,               0.030436,               0.041402,               0.002902,                0.85269,                0.85002,                0.89285,                0.61987,                0.84324,                0.83914,                0.86926,                0.58859,               0.029937,               0.026855,               0.033351,              0.0020602,              0.0096832,              0.0096832,              0.0096832
                     18,               0.033919,               0.029766,               0.040644,              0.0028203,                0.86865,                0.86422,                0.91846,                0.64657,                 0.8529,                0.84542,                 0.8893,                0.63031,               0.030072,               0.024791,               0.031052,              0.0021419,              0.0096634,              0.0096634,              0.0096634
                     19,               0.033014,               0.029213,               0.040422,              0.0026185,                0.86085,                 0.8576,                0.89908,                0.65663,                0.84941,                0.84045,                 0.8727,                0.60835,                0.03042,               0.027412,               0.033193,              0.0019226,              0.0096436,              0.0096436,              0.0096436
                     20,               0.033045,               0.029282,                0.04054,              0.0026178,                0.87563,                0.86165,                  0.913,                0.64495,                0.85866,                0.84956,                0.88631,                0.63212,               0.028222,               0.024691,               0.032028,              0.0023797,              0.0096238,              0.0096238,              0.0096238
                     21,               0.032699,               0.029006,               0.039823,              0.0025829,                0.87862,                0.87865,                0.92206,                0.63963,                0.86568,                0.86472,                0.89971,                0.60519,               0.027614,               0.024327,               0.030478,               0.001436,               0.009604,               0.009604,               0.009604
                     22,               0.032614,               0.028978,               0.039494,              0.0024649,                0.84913,                0.86832,                0.90728,                0.62334,                0.83911,                0.85672,                 0.8889,                0.60672,                0.02964,               0.025175,               0.032847,              0.0023795,              0.0095842,              0.0095842,              0.0095842
                     23,               0.032416,               0.029029,               0.039573,              0.0024909,                0.86675,                0.87038,                0.91231,                0.66907,                0.86117,                 0.8609,                 0.8948,                 0.6424,               0.028292,               0.024282,               0.029948,              0.0015159,              0.0095644,              0.0095644,              0.0095644
                     24,               0.032049,               0.028192,               0.039323,              0.0023957,                0.87953,                0.88595,                0.92422,                0.68423,                0.86708,                0.87092,                 0.9015,                0.65502,               0.027581,               0.023855,               0.030427,              0.0020261,              0.0095446,              0.0095446,              0.0095446
                     25,               0.031821,               0.028375,                0.03908,              0.0023677,                0.85837,                 0.8769,                0.91374,                0.65946,                0.84235,                 0.8587,                  0.888,                0.64027,               0.027568,               0.024062,               0.030692,              0.0016969,              0.0095248,              0.0095248,              0.0095248
                     26,               0.031276,                0.02878,               0.038785,              0.0024442,                 0.8973,                0.88461,                0.93111,                0.69468,                 0.8833,                0.85993,                0.90512,                0.65183,               0.027937,                0.02416,               0.029788,              0.0020518,               0.009505,               0.009505,               0.009505
                     27,               0.031265,                0.02808,               0.038697,               0.002263,                0.85275,                 0.7989,                0.88366,                0.57966,                0.83449,                 0.7792,                0.85186,                0.56459,                0.02889,               0.026119,               0.032799,              0.0023294,              0.0094852,              0.0094852,              0.0094852
